Hours of Study,Class Participation,Passed
8,0.4868914823691235,1
8,0.3095898177667046,1
3,0.5774413728278474,1
7,0.44170781956874294,1
7,0.35967810260053623,1
0,0.3213319320088136,0
4,0.20820724019602266,1
2,0.45125862406183437,1
5,0.4918429102640539,1
2,0.8990763147937112,1
2,0.7293604610294412,1
2,0.7700897729196955,1
1,0.3754392475619882,0
0,0.34373953523538436,0
8,0.6550352059993224,1
4,0.7110379932104975,1
0,0.11353757521867625,0
9,0.13302868937357504,1
6,0.45603905760612395,1
2,0.15973623015851013,0
4,0.9616419037746458,1
1,0.8376157448618098,0
5,0.5201606870379233,1
3,0.2182722577281544,1
4,0.13491872253239878,1
4,0.9790703454838688,1
3,0.7070434956891432,1
7,0.8599755569456631,1
1,0.38717262782863904,0
1,0.2508340198317248,0
7,0.29943801894470223,1
7,0.8568955284050157,1
0,0.47298399056822105,0
2,0.6632770470161282,1
9,0.8057286074367852,1
9,0.2529805046497241,1
3,0.07957343897032487,1
2,0.7327606050157152,1
5,0.9613974775036055,1
8,0.9538047341676628,1
1,0.49049905188389964,0
0,0.6321920644327551,0
7,0.7329950198379923,1
6,0.9024095032479662,1
2,0.16224691874820008,0
0,0.40588132236756125,0
8,0.41709073558366083,1
2,0.6955910282920739,1
5,0.4248472379248316,1
1,0.8581142260514297,0
8,0.846932479609419,1
1,0.07019911390868883,0
5,0.3017524134841485,1
4,0.9796236810301702,1
2,0.035626996553034807,0
8,0.4923926469985821,1
3,0.9523768530135464,1
5,0.8105737585294711,1
0,0.2943304412963712,0
9,0.5962335185183412,1
3,0.43117785229972994,1
6,0.5923975029889863,1
3,0.893752104720206,1
4,0.5540211897717062,1
7,0.4928665073452738,1
6,0.3192704571895012,1
3,0.263365783050724,1
9,0.5422806135357958,1
0,0.08226452393202399,0
4,0.6356367098253985,1
4,0.7964052251862078,1
5,0.9547475054308089,1
7,0.6846242716927129,1
6,0.48829316680509927,1
6,0.4854143101843673,1
2,0.9666929205829677,1
4,0.21134788749712163,1
2,0.41164813817783297,1
7,0.9896655767792834,1
1,0.02841185671325175,0
6,0.7013265140935161,1
6,0.0251715638848119,1
0,0.3208817260865362,0
7,0.07352706186557412,1
2,0.06088456434663547,0
3,0.11140631670405321,1
5,0.16926890814543094,1
4,0.627686279501054,1
2,0.43839309463984333,1
4,0.8309037646039747,1
3,0.23979218956447224,1
7,0.19005270791973705,1
9,0.7118996585829157,1
0,0.8582949253267775,0
0,0.5590558855960195,0
5,0.7044204082888571,1
9,0.605112035518179,1
6,0.5592172832680401,1
6,0.8603941909075867,1
5,0.9197553591500698,1
6,0.8496073257589813,1
4,0.2544665354944545,1
7,0.8775555422867709,1
3,0.43513019009222575,1
9,0.729494343964508,1
2,0.4126407675387943,1
3,0.1908360458112225,1
8,0.7060195199561622,1
7,0.24063282092985294,1
1,0.8513244268329954,0
5,0.8241022892585868,1
9,0.5252117866139705,1
3,0.3863407943061684,1
0,0.5908807907349247,0
6,0.13752361490782572,1
2,0.8082704078916083,1
3,0.965825815244485,1
4,0.7797958042329348,1
8,0.23933508209581977,1
9,0.8672604131084306,1
8,0.8081150128937004,1
5,0.06368112422046845,1
2,0.231228304048803,0
7,0.5896854487035268,1
5,0.13748694797777417,1
9,0.6784407043714858,1
0,0.9921906895152471,0
9,0.28575198481557174,1
8,0.7609127595588501,1
6,0.046527167666138625,1
2,0.33253590652220666,0
0,0.9445527910270574,0
5,0.6365170412547786,1
3,0.6018486061318925,1
2,0.9281846814636464,1
3,0.18167941079661343,1
6,0.017823184026521055,1
4,0.1900721761341725,1
1,0.5218717978245897,0
3,0.49582198590367044,1
1,0.8004912055691525,0
4,0.8594363114449111,1
8,0.21295603224034498,1
8,0.43726884144766365,1
2,0.42161750906258955,1
2,0.0547173770819418,0
7,0.009933693670982957,1
2,0.7897656793360066,1
1,0.27531321879489834,0
2,0.7177400045433364,1
7,0.4213559217565558,1
1,0.14333587216899957,0
0,0.19252168025197935,0
5,0.3138152333176353,1
3,0.8051701673672972,1
5,0.012625830357479995,1
2,0.0491059726975559,0
6,0.5660003849850935,1
1,0.686810696154396,0
1,0.7268109050517068,0
5,0.47969376130167696,1
9,0.3676567217785285,1
2,0.8399700992017514,1
5,0.45416355245100537,1
6,0.3213658387821987,1
4,0.09271986717104153,1
6,0.06043793213558557,1
7,0.09095116720087482,1
9,0.6827064564283071,1
7,0.6807357672306377,1
3,0.24317416588742535,1
0,0.6404614421560298,0
2,0.06913918311155143,0
5,0.8729199617462652,1
1,0.10960694983251273,0
1,0.16905576511943454,0
0,0.46737799144534753,0
3,0.7759492194033726,1
6,0.8544445157050565,1
7,0.21038644476715873,1
3,0.07664186926890304,1
6,0.788914797103218,1
4,0.5475000011493021,1
8,0.7862548628154125,1
6,0.9200470428587104,1
5,0.4809727659278811,1
0,0.459553670010184,0
0,0.5989791554809532,0
5,0.5993187807242845,1
1,0.5043734512337575,0
3,0.30687852974345065,1
2,0.5413529803491126,1
3,0.9249269434027916,1
1,0.9705508020302188,1
0,0.39579460989699644,0
6,0.7987452725553391,1
5,0.6350881477509265,1
2,0.2299691652490331,0
0,0.05120709286293723,0
0,0.028463806171351802,0
